,Adj_Close,Close,Date,High,Low,Open,Symbol,Volume
1224,66.992936,514.850021,2012-02-21,514.850021,504.120003,506.880013,AAPL,151398800
1225,65.336491,502.12001,2012-02-17,507.77002,500.299995,503.109993,AAPL,133951300
1226,65.3482,502.209999,2012-02-16,504.890007,486.62999,491.500008,AAPL,236138000
1227,64.757447,497.669975,2012-02-15,526.290016,496.889984,514.259995,AAPL,376530000
1228,66.291579,509.459991,2012-02-14,509.56002,502.000008,504.659988,AAPL,115099600
1229,65.398951,502.600021,2012-02-13,503.830009,497.089989,499.529991,AAPL,129304000
1230,64.204434,493.419998,2012-02-10,497.619987,488.54998,490.960022,AAPL,157825500
1231,64.171905,493.170006,2012-02-09,496.750008,480.559998,480.760002,AAPL,221053700
1232,62.026207,476.680016,2012-02-08,476.789978,469.699989,470.500008,AAPL,101972500
1233,61.004754,468.830009,2012-02-07,469.749977,464.579979,465.250008,AAPL,79055900
1234,60.372361,463.969978,2012-02-06,464.979988,458.20002,458.379997,AAPL,62353200
1235,59.814143,459.68,2012-02-03,460.000008,455.560013,457.300026,AAPL,71649900
1236,59.220791,455.120003,2012-02-02,457.169983,453.980003,455.899994,AAPL,46699100
1237,59.360018,456.189987,2012-02-01,458.989998,455.550026,458.410011,AAPL,67511500
1238,59.397753,456.47998,2012-01-31,458.240021,453.070023,455.589973,AAPL,97920900
1239,58.946234,453.009995,2012-01-30,453.900002,445.390007,445.709988,AAPL,94835300
1240,58.200641,447.28001,2012-01-27,448.480011,443.769997,444.339996,AAPL,74927300
1241,57.855817,444.62999,2012-01-26,448.789978,443.139996,448.360008,AAPL,80996300
1242,58.119964,446.659996,2012-01-25,454.449974,443.729996,454.439987,AAPL,239578500
1243,54.704281,420.409996,2012-01-24,425.10001,419.550003,425.10001,AAPL,136909500
1244,55.615129,427.409996,2012-01-23,428.449993,422.299999,422.669994,AAPL,76515600
1245,54.689969,420.300007,2012-01-20,427.500011,419.750008,427.489998,AAPL,103493600
1246,55.659372,427.750004,2012-01-19,431.370007,426.510002,430.150005,AAPL,65434600
1247,55.836337,429.110008,2012-01-18,429.46999,426.300011,426.959999,AAPL,69197800
1248,55.262501,424.700001,2012-01-17,425.98999,422.959988,424.199989,AAPL,60724300
1249,54.626209,419.810009,2012-01-13,420.449997,418.659996,419.699993,AAPL,56505400
1250,54.831799,421.389992,2012-01-12,422.900013,418.750011,422.279999,AAPL,53146800
1251,54.982739,422.549992,2012-01-11,422.849998,419.309998,422.680008,AAPL,53771200
1252,55.072523,423.239994,2012-01-10,426.000004,421.500008,425.909988,AAPL,64549100
1253,54.876041,421.73,2012-01-09,427.750004,421.349991,425.499992,AAPL,98506100
1254,54.963223,422.400002,2012-01-06,422.749996,419.220009,419.770008,AAPL,79573200
1255,54.394592,418.029995,2012-01-05,418.550007,412.670006,414.950005,AAPL,67817400
1256,53.797337,413.44001,2012-01-04,414.680012,409.279995,410.000011,AAPL,65005500
1257,53.509768,411.23,2012-01-03,412.499989,408.999989,409.399998,AAPL,75555200
1258,52.699113,405.000004,2011-12-30,406.280006,403.490009,403.51001,AAPL,44915500
1259,52.714728,405.120007,2011-12-29,405.650005,400.509995,403.399994,AAPL,53994500
1260,52.392027,402.640003,2011-12-28,408.250011,401.34,406.890007,AAPL,57165500
1261,52.898198,406.529999,2011-12-27,409.090004,403.020012,403.099987,AAPL,66269000
1262,52.481811,403.330006,2011-12-23,403.590012,399.489998,399.690002,AAPL,67349800
1263,51.859831,398.550003,2011-12-22,399.12999,396.099987,397.000008,AAPL,50589700
1264,51.586577,396.450008,2011-12-21,397.299988,392.009987,396.689987,AAPL,65737000
1265,51.521515,395.949997,2011-12-20,396.099987,387.259998,387.76001,AAPL,84303800
1266,49.733649,382.210003,2011-12-19,384.85001,380.480003,382.470009,AAPL,58882600
1267,49.578803,381.019989,2011-12-16,384.149994,379.569996,380.360001,AAPL,105369600
1268,49.308152,378.939995,2011-12-15,383.739998,378.309994,383.330002,AAPL,64050000
1269,49.470805,380.19001,2011-12-14,387.380001,377.679993,386.700012,AAPL,101721900
1270,50.592448,388.809994,2011-12-13,395.399998,387.099995,392.999996,AAPL,84732200
1271,50.986716,391.839996,2011-12-12,393.89999,389.450008,391.679993,AAPL,75266800
1272,51.218334,393.62001,2011-12-09,394.039993,391.029991,392.850006,AAPL,74248300
1273,50.833173,390.659996,2011-12-08,395.50,390.23,391.450001,AAPL,94089100
1274,50.628883,389.09,2011-12-07,390.940002,386.759987,389.929993,AAPL,76186600
1275,50.870907,390.949989,2011-12-06,394.629993,389.379993,392.509998,AAPL,70899500
1276,51.13896,393.01001,2011-12-05,396.410007,390.390003,393.489994,AAPL,89302500
1277,50.708257,389.700001,2011-12-02,393.629997,388.580002,389.82999,AAPL,94763900
1278,50.477942,387.93,2011-12-01,389.000011,380.749996,382.539997,AAPL,96795300
1279,49.732346,382.199989,2011-11-30,382.279991,378.300007,381.290009,AAPL,101484600
1280,48.561256,373.199997,2011-11-29,378.830006,370.200008,375.840004,AAPL,93963800
1281,48.941212,376.12001,2011-11-28,376.719997,370.329998,372.349991,AAPL,86603300
1282,47.308189,363.570004,2011-11-25,371.14999,363.320011,368.419994,AAPL,63690200
1283,47.753203,366.990002,2011-11-23,375.840004,366.880013,374.509987,AAPL,107067800
1284,48.991958,376.510006,2011-11-22,377.930012,370.939999,371.02,AAPL,102255300
1285,48.016047,369.009995,2011-11-21,371.679989,365.910004,370.400013,AAPL,111995100
1286,48.787668,374.94001,2011-11-18,379.990005,374.880009,378.919994,AAPL,92984500
1287,49.109067,377.41,2011-11-17,384.57999,375.499996,383.980003,AAPL,119975100
1288,50.06676,384.770008,2011-11-16,391.140007,384.320011,389.250004,AAPL,87302600
1289,50.595051,388.829994,2011-11-15,389.499996,379.449993,380.800011,AAPL,107702700
1290,49.349791,379.260002,2011-11-14,385.249992,378.200005,383.519993,AAPL,108226300
1291,50.04724,384.619991,2011-11-11,388.700005,380.259998,386.609997,AAPL,163446500
1292,50.125314,385.220005,2011-11-10,397.209999,382.150002,397.029995,AAPL,186188100
1293,51.434333,395.279995,2011-11-09,400.890003,394.230011,396.969994,AAPL,139671000
1294,52.85916,406.229992,2011-11-08,407.999992,401.560005,402.210007,AAPL,100110500
1295,52.013374,399.730003,2011-11-07,399.999996,396.130001,399.910007,AAPL,67568900
1296,52.079735,400.240002,2011-11-04,403.439995,399.160004,402.030003,AAPL,75557300
1297,52.447978,403.07,2011-11-03,403.399994,395.359997,399.069988,AAPL,110346600
1298,51.711492,397.410004,2011-11-02,400.440006,395.110004,400.090012,AAPL,81837700
1299,51.594384,396.51001,2011-11-01,399.500011,393.220001,397.410004,AAPL,132947500
1300,52.670486,404.779999,2011-10-31,409.330009,401.050007,402.419998,AAPL,96375300
1301,52.692605,404.949989,2011-10-28,406.349995,402.509987,403.000011,AAPL,80710700
1302,52.658776,404.69001,2011-10-27,408.999989,401.889999,407.560009,AAPL,123666200
1303,52.12658,400.60001,2011-10-26,402.549988,393.150013,401.76001,AAPL,114076200
1304,51.758337,397.770012,2011-10-25,406.549999,397.37999,405.029991,AAPL,107606800
1305,52.799307,405.770008,2011-10-24,406.500011,395.399998,396.179989,AAPL,125534500
1306,51.120742,392.870007,2011-10-21,399.140003,390.750011,398.100006,AAPL,155311100
1307,51.438238,395.310009,2011-10-20,400.349991,394.210011,399.999996,AAPL,137317600
1308,51.868938,398.619991,2011-10-19,408.420002,397.799999,401.349987,AAPL,276014900
1309,54.942403,422.239998,2011-10-18,424.80999,415.990002,421.759987,AAPL,220400600
1310,54.649632,419.990013,2011-10-17,426.699993,415.939987,421.740013,AAPL,171511200
1311,54.911173,421.999992,2011-10-14,421.999992,415.270012,416.829994,AAPL,143341800
1312,53.145427,408.429989,2011-10-13,408.429989,402.849995,404.980003,AAPL,106546300
1313,52.333472,402.190006,2011-10-12,409.250008,400.139999,407.340004,AAPL,155571500
1314,52.08624,400.289989,2011-10-11,403.179989,391.499989,392.57,AAPL,151421900
1315,50.592448,388.809994,2011-10-10,388.809994,378.209991,379.090012,AAPL,110628700
1316,48.118844,369.799999,2011-10-07,377.739994,368.490009,375.780003,AAPL,133864500
1317,49.103862,377.369999,2011-10-06,384.779995,371.799992,373.330013,AAPL,203145600
1318,49.218368,378.249992,2011-10-05,379.819988,360.299995,367.860008,AAPL,196617400
1319,48.470172,372.500008,2011-10-04,381.800007,354.23999,374.569988,AAPL,308419300
1320,48.743426,374.600002,2011-10-03,382.639999,373.17001,380.369987,AAPL,167274800
1321,49.61784,381.319996,2011-09-30,388.889996,381.179993,387.119995,AAPL,136910200
1322,50.821463,390.570007,2011-09-29,402.210007,386.209988,401.919987,AAPL,162771700
1323,51.659443,397.009995,2011-09-28,403.740002,396.51001,400.189987,AAPL,107409400
1324,51.952217,399.260006,2011-09-27,409.250008,398.060005,408.729996,AAPL,158124400
1325,52.460991,403.170002,2011-09-26,403.980007,391.300011,399.859993,AAPL,203219100
1326,52.608026,404.299988,2011-09-23,406.73999,399.850006,400.280003,AAPL,136569300
1327,52.285328,401.820011,2011-09-22,409.820007,396.700001,401.030006,AAPL,242120200
1328,53.628179,412.140007,2011-09-21,421.589996,412.000004,419.639992,AAPL,151494000
1329,53.798637,413.449997,2011-09-20,422.860012,411.189999,415.250011,AAPL,193938500
1330,53.561818,411.630009,2011-09-19,413.229992,395.199993,397.000008,AAPL,205965200
